Title,Description,Keywords,Reward,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,16067255153989135535,Submitted,Fri Jul 23 19:01:57 PDT 2021,Fri Jul 23 19:31:38 PDT 2021,Tue Jul 27 19:31:38 PDT 2021,,,,1781,0% (0/0),0% (0/0),0% (0/0),169864,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,2981947136738251815,Submitted,Sun Jul 25 11:55:11 PDT 2021,Sun Jul 25 12:07:37 PDT 2021,Thu Jul 29 12:07:37 PDT 2021,,,,746,100% (1/1),0% (0/0),0% (0/0),124021,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,3878063417816950760,Submitted,Fri Jul 23 14:33:19 PDT 2021,Fri Jul 23 14:43:41 PDT 2021,Tue Jul 27 14:43:41 PDT 2021,,,,622,100% (1/1),0% (0/0),0% (0/0),153494,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,17405460691754473338,Submitted,Fri Jul 23 16:12:09 PDT 2021,Fri Jul 23 16:17:43 PDT 2021,Tue Jul 27 16:17:43 PDT 2021,,,,334,100% (3/3),0% (0/0),0% (0/0),101184,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,1804073395431622306,Submitted,Sun Jul 25 10:21:22 PDT 2021,Sun Jul 25 10:25:58 PDT 2021,Thu Jul 29 10:25:58 PDT 2021,,,,276,0% (0/0),0% (0/0),0% (0/0),179966,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,4159100244852191731,Submitted,Sat Jul 24 12:40:41 PDT 2021,Sat Jul 24 12:45:47 PDT 2021,Wed Jul 28 12:45:47 PDT 2021,,,,306,0% (0/0),0% (0/0),0% (0/0),147620,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,10517438142341673285,Submitted,Fri Jul 23 14:02:22 PDT 2021,Fri Jul 23 14:06:33 PDT 2021,Tue Jul 27 14:06:33 PDT 2021,,,,251,0% (0/0),0% (0/0),0% (0/0),141619,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,8875698949719811363,Submitted,Fri Jul 23 13:41:52 PDT 2021,Fri Jul 23 13:54:37 PDT 2021,Tue Jul 27 13:54:37 PDT 2021,,,,765,0% (0/0),0% (0/0),0% (0/0),130722,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,6984687958236773532,Submitted,Fri Jul 23 14:34:22 PDT 2021,Fri Jul 23 14:39:49 PDT 2021,Tue Jul 27 14:39:49 PDT 2021,,,,327,100% (2/2),0% (0/0),0% (0/0),149630,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,7066410340318184616,Submitted,Sat Jul 24 02:47:22 PDT 2021,Sat Jul 24 03:03:21 PDT 2021,Wed Jul 28 03:03:21 PDT 2021,,,,959,100% (109/109),0% (0/0),0% (0/0),152075,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,10125130614140698324,Submitted,Fri Jul 23 18:54:30 PDT 2021,Fri Jul 23 19:15:02 PDT 2021,Tue Jul 27 19:15:02 PDT 2021,,,,1232,100% (8/8),0% (0/0),0% (0/0),120275,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,12344581191173171442,Submitted,Fri Jul 23 20:27:51 PDT 2021,Fri Jul 23 20:51:43 PDT 2021,Tue Jul 27 20:51:43 PDT 2021,,,,1432,100% (9/9),0% (0/0),0% (0/0),196324,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,8852172144791088339,Submitted,Fri Jul 23 13:44:04 PDT 2021,Fri Jul 23 13:48:35 PDT 2021,Tue Jul 27 13:48:35 PDT 2021,,,,271,100% (1/1),0% (0/0),0% (0/0),123823,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,12955998869405529198,Submitted,Sun Jul 25 09:59:53 PDT 2021,Sun Jul 25 10:14:31 PDT 2021,Thu Jul 29 10:14:31 PDT 2021,,,,878,0% (0/0),0% (0/0),0% (0/0),112130,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,12213285356750243801,Submitted,Sun Jul 25 17:32:48 PDT 2021,Sun Jul 25 17:39:36 PDT 2021,Thu Jul 29 17:39:36 PDT 2021,,,,408,0% (0/0),0% (0/0),0% (0/0),190350,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,7337346154877963082,Submitted,Fri Jul 23 13:42:55 PDT 2021,Fri Jul 23 13:46:47 PDT 2021,Tue Jul 27 13:46:47 PDT 2021,,,,232,100% (4/4),0% (0/0),0% (0/0),144913,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,17181987870173915314,Submitted,Sat Jul 24 10:09:10 PDT 2021,Sat Jul 24 10:20:08 PDT 2021,Wed Jul 28 10:20:08 PDT 2021,,,,658,0% (0/0),0% (0/0),0% (0/0),192672,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,350386526894247114,Submitted,Fri Jul 23 12:56:59 PDT 2021,Fri Jul 23 13:02:50 PDT 2021,Tue Jul 27 13:02:50 PDT 2021,,,,351,100% (5/5),0% (0/0),0% (0/0),184430,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,7100899665116189909,Submitted,Fri Jul 23 13:01:48 PDT 2021,Fri Jul 23 13:17:25 PDT 2021,Tue Jul 27 13:17:25 PDT 2021,,,,937,0% (0/0),0% (0/0),0% (0/0),164115,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,16448255493857654189,Submitted,Fri Jul 23 13:01:45 PDT 2021,Fri Jul 23 13:09:03 PDT 2021,Tue Jul 27 13:09:03 PDT 2021,,,,438,0% (0/0),0% (0/0),0% (0/0),129687,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,8563435651891424541,Submitted,Fri Jul 23 14:46:20 PDT 2021,Fri Jul 23 14:53:16 PDT 2021,Tue Jul 27 14:53:16 PDT 2021,,,,416,0% (0/0),0% (0/0),0% (0/0),107904,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,6355112506450621677,Submitted,Sat Jul 24 11:44:57 PDT 2021,Sat Jul 24 11:52:04 PDT 2021,Wed Jul 28 11:52:04 PDT 2021,,,,427,100% (1/1),0% (0/0),0% (0/0),159809,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,6274765303135634845,Submitted,Sat Jul 24 12:30:11 PDT 2021,Sat Jul 24 12:34:48 PDT 2021,Wed Jul 28 12:34:48 PDT 2021,,,,277,100% (3/3),0% (0/0),0% (0/0),145170,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,15423293622764341960,Submitted,Fri Jul 23 13:10:47 PDT 2021,Fri Jul 23 13:18:29 PDT 2021,Tue Jul 27 13:18:29 PDT 2021,,,,462,100% (6/6),0% (0/0),0% (0/0),197636,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,14940805272089293133,Submitted,Fri Jul 23 15:04:26 PDT 2021,Fri Jul 23 15:09:33 PDT 2021,Tue Jul 27 15:09:33 PDT 2021,,,,307,0% (0/0),0% (0/0),0% (0/0),109452,,
Comprehension of news articles,"In this task, you will read some quotes from the news and answer some questions. This task is part of a research project. We are interested in what you think without the help of external resources. You will be compensated $1.50 for your participation.","survey, survey, news, articles",$1.50 ,Fri Jul 23 12:56:27 PDT 2021,1300,3600,345600,Tue Jul 27 09:58:41 PDT 2021,,,17057499594993671158,Submitted,Sat Jul 24 08:23:45 PDT 2021,Sat Jul 24 08:35:17 PDT 2021,Wed Jul 28 08:35:17 PDT 2021,,,,692,0% (0/0),0% (0/0),0% (0/0),106320,,
