StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RecaptchaAssessmentName,time_consent_form_First Click,time_consent_form_Last Click,time_consent_form_Page Submit,time_consent_form_Click Count,attention_check_1,time_attention_1_First Click,time_attention_1_Last Click,time_attention_1_Page Submit,time_attention_1_Click Count,attention_check_2,time_attention_2_First Click,time_attention_2_Last Click,time_attention_2_Page Submit,time_attention_2_Click Count,time_before_reading_First Click,time_before_reading_Last Click,time_before_reading_Page Submit,time_before_reading_Click Count,time_read_round_First Click,time_read_round_Last Click,time_read_round_Page Submit,time_read_round_Click Count,time_read_precise_First Click,time_read_precise_Last Click,time_read_precise_Page Submit,time_read_precise_Click Count,time_before_recall_First Click,time_before_recall_Last Click,time_before_recall_Page Submit,time_before_recall_Click Count,recall_trap_1,time_recall_trap_First Click,time_recall_trap_Last Click,time_recall_trap_Page Submit,time_recall_trap_Click Count,recall_enroll_1,recall_enroll_2,recall_hondura_1,recall_hondura_2,recall_frick_1,recall_frick_2,time_recall_First Click,time_recall_Last Click,time_recall_Page Submit,time_recall_Click Count,time_before_calc_First Click,time_before_calc_Last Click,time_before_calc_Page Submit,time_before_calc_Click Count,calculate_enroll,calculate_hondura,calculate_frick,time_calculate_First Click,time_calculate_Last Click,time_calculate_Page Submit,time_calculate_Click Count,condition,workerId,assignmentId,hitId,random_verification_code,fail_first_attention,fail_second_attention
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Q_RecaptchaScore,Q_RecaptchaAssessmentName,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This is a psychology experiment. We are interested in how people think. You are not being paid based on the correctness of your answers. You are supposed to take your best guesses when answering questions. Please do not look up information on the internet. Please do all work in your head. Please do not write anything down.  Based on the paragraph above, please check all statements that apply.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Sorry, you did not answer this question correctly. Please try again.    This is a psychology experiment. We are interested in how people think. You are not being paid based on the correctness of your answers. You are supposed to take your best guesses when answering questions. Please do not look up information on the internet. Please do all work in your head. Please do not write anything down.          Based on the paragraph above, please check all statements that apply.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Answer the questions below with your best guess at the numbers you read in the article.     California Boasting the Highest Public College Enrollment in the US       Along with Texas, New York and Florida, California has the highest number of college students in the US. Not surprisingly, these four states also boast the highest population. California, in particular, has a population of ________ in 2021.      Enter your answer as a number only without any units, and write out zeros instead of using words like ""hundreds"", ""thousands"", ""millions"", or ""billions"". - What is the population of California in 2021, according to the article?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Answer the questions below with your best guess at the numbers you read in the article.    Who Got into the University of California?     In 2019, the University of California introduced its then largest crop of students admitted for the upcoming academic year.     Among the admitted freshmen were ________ transfer students who were offered spots at U.C. campuses, out of ​​​​________ applicants.     “Yet another year of record-setting admissions underscores the tremendous interest in the world-class education at U.C.,” Janet Napolitano, the university’s president, said in a statement.     Along with Texas, New York and Florida, California has the highest number of college students in the US. Not surprisingly, these four states also boast the highest population. California, in particular, has a population of 39,613,493 in 2021.          Enter your answer as a number only without any units, and write out zeros instead of using words like ""hundreds"", ""thousands"", ""millions"", or ""billions"". - How many transfer students were offered spots at U.C. campuses?","Answer the questions below with your best guess at the numbers you read in the article.    Who Got into the University of California?     In 2019, the University of California introduced its then largest crop of students admitted for the upcoming academic year.     Among the admitted freshmen were ________ transfer students who were offered spots at U.C. campuses, out of ​​​​________ applicants.     “Yet another year of record-setting admissions underscores the tremendous interest in the world-class education at U.C.,” Janet Napolitano, the university’s president, said in a statement.     Along with Texas, New York and Florida, California has the highest number of college students in the US. Not surprisingly, these four states also boast the highest population. California, in particular, has a population of 39,613,493 in 2021.          Enter your answer as a number only without any units, and write out zeros instead of using words like ""hundreds"", ""thousands"", ""millions"", or ""billions"". - How many transfer student applicants to the U.C. campuses were there?","Answer the question below with your best guess at the numbers you read in the article.      Hope Dwindles for Hondurans Living in Peril      Although Honduras was spared the civil wars of its neighbors in the 1980s and 1990s, the regional instability set the stage for a surge of migration that rapidly accelerated after Hurricane Mitch devastated the country in 1998. The storm killed thousands of people in Honduras, left one million homeless and destroyed what was left of a declining Banana industry, once the country’s lifeblood, as well as other vital crops.     By 2000, the number of Honduran immigrants in the United States, mostly without proper visas, was __________, and it now stands at __________, according to a Migration Policy Institute report.      They have come to prop up the economy back home, with the $3 billion sent back last year accounting for 20 percent of the economy, the highest proportion in Latin America.      Enter your answer as a number only without any units, and write out zeros instead of using words like ""hundreds"", ""thousands"", ""millions"", or ""billions"". - Based on this article, how many Honduran immigrants were in the United States in the year 2000?","Answer the question below with your best guess at the numbers you read in the article.      Hope Dwindles for Hondurans Living in Peril      Although Honduras was spared the civil wars of its neighbors in the 1980s and 1990s, the regional instability set the stage for a surge of migration that rapidly accelerated after Hurricane Mitch devastated the country in 1998. The storm killed thousands of people in Honduras, left one million homeless and destroyed what was left of a declining Banana industry, once the country’s lifeblood, as well as other vital crops.     By 2000, the number of Honduran immigrants in the United States, mostly without proper visas, was __________, and it now stands at __________, according to a Migration Policy Institute report.      They have come to prop up the economy back home, with the $3 billion sent back last year accounting for 20 percent of the economy, the highest proportion in Latin America.      Enter your answer as a number only without any units, and write out zeros instead of using words like ""hundreds"", ""thousands"", ""millions"", or ""billions"". - At the time the article was published, how many Honduran immigrants were in the United States?","Answer the questions below with your best guess at the numbers you read in the article.      The Case Against a Mammoth Frick Collection Addition     New York City’s Landmarks Preservation Commission would do well to turn down the Frick Collection’s proposed expansion, which imagines replacing a prized garden on East 70th Street in Manhattan with a clumsy addition.     Of the ________ square feet the Frick wants to add, only _________ of it would be for showing art.    That’s actually plenty. The Frick doesn’t need more room for art.    Otherwise the proposal calls for a new auditorium and for rationalizing back-of-the-house practical stuff like office space, classrooms, the conservation lab and wheelchair access, although while at it, the expansion includes a new boardroom, cafe and gift shop.    Enter your answer as a number only without any units, and write out zeros instead of using words like ""hundreds"", ""thousands"", ""millions"", or ""billions"". - How many total square feet was the Frick's proposed addition?","Answer the questions below with your best guess at the numbers you read in the article.      The Case Against a Mammoth Frick Collection Addition     New York City’s Landmarks Preservation Commission would do well to turn down the Frick Collection’s proposed expansion, which imagines replacing a prized garden on East 70th Street in Manhattan with a clumsy addition.     Of the ________ square feet the Frick wants to add, only _________ of it would be for showing art.    That’s actually plenty. The Frick doesn’t need more room for art.    Otherwise the proposal calls for a new auditorium and for rationalizing back-of-the-house practical stuff like office space, classrooms, the conservation lab and wheelchair access, although while at it, the expansion includes a new boardroom, cafe and gift shop.    Enter your answer as a number only without any units, and write out zeros instead of using words like ""hundreds"", ""thousands"", ""millions"", or ""billions"". - How many square feet of the proposed addition would be used for showing art?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Answer the question below with your best guess at the numbers you read in the article.     Who Got into the University of California?      Based on this article, what percentage of transfer student applicants were offered spots at the University of California system?      Enter your answer as a number between 0 and 100 only without any units or percent signs.","Answer the question below with your best guess at the numbers you read in the article.     Hope Dwindles for Hondurans Living in Peril     Based on this article, approximately how many more Honduran immigrants lived in the U.S at the time of the article compared to in the year 2000?       Enter your answer as a number only without any units, and write out zeros instead of using words like ""hundreds"", ""thousands"", ""millions"", or ""billions"".","Answer the questions below with your best guess at the numbers you read in the article.      The Case Against a Mammoth Frick Collection Addition     Based on this article, what percentage of the square feet in the proposed museum addition would be used for showing art?    Enter your answer as a number between 0 and 100 only without any units or percent signs.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,condition,workerId,assignmentId,hitId,random_verification_code,fail_first_attention,fail_second_attention
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RecaptchaAssessmentName""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77_FIRST_CLICK""}","{""ImportId"":""QID77_LAST_CLICK""}","{""ImportId"":""QID77_PAGE_SUBMIT""}","{""ImportId"":""QID77_CLICK_COUNT""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID48_FIRST_CLICK""}","{""ImportId"":""QID48_LAST_CLICK""}","{""ImportId"":""QID48_PAGE_SUBMIT""}","{""ImportId"":""QID48_CLICK_COUNT""}","{""ImportId"":""QID50_FIRST_CLICK""}","{""ImportId"":""QID50_LAST_CLICK""}","{""ImportId"":""QID50_PAGE_SUBMIT""}","{""ImportId"":""QID50_CLICK_COUNT""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID51_FIRST_CLICK""}","{""ImportId"":""QID51_LAST_CLICK""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID51_CLICK_COUNT""}","{""ImportId"":""QID52_FIRST_CLICK""}","{""ImportId"":""QID52_LAST_CLICK""}","{""ImportId"":""QID52_PAGE_SUBMIT""}","{""ImportId"":""QID52_CLICK_COUNT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID53_FIRST_CLICK""}","{""ImportId"":""QID53_LAST_CLICK""}","{""ImportId"":""QID53_PAGE_SUBMIT""}","{""ImportId"":""QID53_CLICK_COUNT""}","{""ImportId"":""condition""}","{""ImportId"":""workerId""}","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""random_verification_code""}","{""ImportId"":""fail_first_attention""}","{""ImportId"":""fail_second_attention""}"
7/23/21 15:57,7/23/21 15:59,100,141,TRUE,7/23/21 15:59,R_2D8LZz8FSPtDv2s,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/b6a124d070000000,0,0,2.101,0,"I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",7.817,9.312,15.354,2,I'm supposed to take my best guesses,2.283,2.283,4.581,1,0,0,0.919,0,0,0,14.024,0,,,,,0,0,1.694,0,38000000,13.012,13.012,23.201,1,20000,40000,250000,400000,2000,1000,5.286,47.441,47.901,5,0,0,2.535,0,50,25,55,2.613,10.976,17.407,3,round,,,,122141,1,1
7/23/21 15:57,7/23/21 16:00,100,165,TRUE,7/23/21 16:00,R_bvLxS4BMM0goVCp,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/dcfb64d070000000,0,0,3.392,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",12.371,17.367,18.584,4,,,,,,0,0,1.061,0,0,0,62.746,0,,,,,0,0,2.518,0,40000000,4.001,4.001,10.76,1,30000,40000,300000,500000,40000,4000,4.776,29.525,38.022,3,0,0,3.694,0,75,200000,10,3.245,12.482,14.917,3,round,,,,124446,,
7/23/21 15:58,7/23/21 16:00,100,113,TRUE,7/23/21 16:00,R_2rDyQtBMYoC2xUG,,,,,anonymous,EN,0.800000012,projects/513998946275/assessments/bd2864d070000000,0,0,3.614,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm supposed to work from information in my head and not record or write down any information I see,I'm supposed to type random answers, not my best guesses",5.228,10.786,12.444,7,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm supposed to work from information in my head and not record or write down any information I see,I'm supposed to type random answers, not my best guesses",2.193,11.097,12.336,7,0,0,1.049,0,0,0,2.429,0,,,,,0,0,0.988,0,40000,1.614,15.073,19.013,3,20000,20000,20000,200000,40000,40000,3.301,23.035,27.887,4,0,0,1.333,0,95,10000,95,1.972,19.597,22.416,8,round,,,,171400,1,1
7/23/21 15:57,7/23/21 16:01,100,233,TRUE,7/23/21 16:01,R_31XZsG6fT4PC7wQ,,,,,anonymous,EN,1,projects/513998946275/assessments/413c24d070000000,0,0,4.265,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",10.052,21.3,23.898,4,,,,,,0,0,1.949,0,42.178,47.514,49.013,3,,,,,0,0,4.749,0,38000000,9.664,30.171,30.486,3,30000,40000,300000,500000,40000,4000,3.445,69.667,75.48,7,0,0,3.5,0,10,15,10,4.103,21.059,30.014,4,round,,,,107753,,
7/23/21 15:57,7/23/21 16:01,100,213,TRUE,7/23/21 16:01,R_21hwGNiIYUyO30Y,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/a2ec64d070000000,5.742,5.742,6.913,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",8.124,27.239,28.398,5,,,,,,0,0,1.341,0,,,,,5.133,67.706,68.786,3,0,0,3.115,0,25000000,10.49,10.49,15.587,1,24000,41000,28000,41000,4000,1500,3.49,40.932,54.813,9,0,0,2.61,0,60,80,25,3.293,20.008,22.422,5,precise,,,,175015,,
7/23/21 15:57,7/23/21 16:01,100,217,TRUE,7/23/21 16:01,R_pu7H1kxJjDdWAXT,,,,,anonymous,EN,1,projects/513998946275/assessments/f10fe4eec8000000,0,0,10.689,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",11.593,21.351,26.807,4,,,,,,0,0,1.092,0,,,,,0,0,41.194,0,0,0,2.58,0,39600000,22.362,22.362,37.947,1,28700,41200,280000,487000,40000,3700,3.452,41.877,48.682,5,0,0,4.186,0,50,200000,3,9.443,29.063,31.617,3,precise,,,,197107,,
7/23/21 15:56,7/23/21 16:01,100,265,TRUE,7/23/21 16:01,R_2qFacJVct1dgfjT,,,,,anonymous,EN,0.800000012,projects/513998946275/assessments/99b5a4d070000000,10.094,30.279,30.677,6,This study is a psychology experiment and I'm not being paid based on the correctness of my answers,1.446,3.19,4.942,3,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",5.33,10.862,12.254,7,0,0,0.818,0,,,,,0.304,77.685,78.02,26,0.762,0.762,1.394,1,50000,0.201,11.003,16.475,21,24500,54000,18000,50000,78000,2900,0.603,31.005,34.903,24,0,0,1.711,0,35,40000,8,2.09,71.373,73.718,41,precise,,,,197405,1,1
7/23/21 15:57,7/23/21 16:01,100,258,TRUE,7/23/21 16:01,R_1Fm7jURfhSjIkQg,,,,,anonymous,EN,1,projects/513998946275/assessments/538c24d070000000,4.11,10.862,13.2,2,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",14.003,32.266,33.416,6,,,,,,0,0,1.938,0,26.619,26.619,29.346,1,,,,,5.446,5.446,7.787,1,40000000,8.898,35.161,37.847,2,30000,40000,156000,200000,40000,6000,1.836,87.749,88.546,15,0,0,7.277,0,80,60,8,0.875,29.764,30.677,9,round,,,,167815,,
